category,cost,cuisine,featured,location,names,rating,reviews,urls
Casual Dining,Rs. 700,"North Indian,Mughlai,Maharashtrian,Chinese",,Vasai,"Akshaya Restaurant & Bar
                                    ","3.8,4.4",,https://www.zomato.com/mumbai/akshaya-restaurant-bar-vasai
Casual Dining,Rs. 600,"North Indian,Chinese",Terrific Thalis,Vashi,"Nanumal Bhojraj
                                    ","4.0,4.2",,https://www.zomato.com/mumbai/nanumal-bhojraj-vashi-navi-mumbai
Casual Dining,Rs. 500,"Pizza,Burger,Sandwich,Italian,Chinese,Fast Food,Street Food",On the Outskirts,"Khopat, Thane West","St Anthony's Chinese
                                    ","4.3,3.8",,https://www.zomato.com/mumbai/st-anthonys-chinese-khopat-thane-west-thane
Casual Dining,Rs. 600,"North Indian,Konkan,Chinese,Seafood",,Seawoods,"RatnaKokan
                                    ","3.9,4.2",,https://www.zomato.com/mumbai/ratnakokan-seawoods-navi-mumbai
Casual Dining,Rs. 700,"North Indian,Chinese,Continental,Asian",,Vasai,"The Post Office Bistro & Bar
                                    ","4.4,3.7",,https://www.zomato.com/mumbai/the-post-office-bistro-bar-vasai
Casual Dining,"Rs. 1,000","North Indian,Chinese",,Ghatkopar West,"Shvatra
                                    ","4.3,3.8",,https://www.zomato.com/mumbai/shvatra-ghatkopar-west
Quick Bites,Rs. 450,"Fast Food,North Indian",,Vile Parle West,"Mohd Nasir Pav Bhaji and Bhurji Centre
                                    ",4.1,(483 Reviews),https://www.zomato.com/mumbai/mohd-nasir-pav-bhaji-and-bhurji-centre-vile-parle-west
"Café,Casual Dining",Rs. 600,"Cafe,American,Continental,Desserts,Beverages,Sandwich,Italian,Salad",,Malad West,"The Burrow Cafe
                                    ","4.1,4.0",,https://www.zomato.com/mumbai/the-burrow-cafe-malad-west
Quick Bites,Rs. 500,"South Indian,Chinese,North Indian,Malwani",,Malad West,"Selasteen Hotel
                                    ","4.0,4.1",,https://www.zomato.com/mumbai/selasteen-hotel-malad-west
Casual Dining,"Rs. 1,300",Spanish,,"Carter Road, Bandra West","El Mercado
                                    ",4.1,(274 Reviews),https://www.zomato.com/mumbai/el-mercado-2-carter-road-bandra-west
Quick Bites,Rs. 700,"Pizza,Fast Food","
                                                                                        20% off on all orders above ₹299
                                        ",Lower Parel,"Juno's Pizza
                                    ","4.4,3.8",,https://www.zomato.com/mumbai/junos-pizza-lower-parel
"Sweet Shop,Quick Bites",Rs. 200,"Mithai,Street Food",,Worli,"Brijwasi Sweets Original Since 1946
                                    ",4.1,"(1,101 Reviews)",https://www.zomato.com/brijwasisweetsworli
Casual Dining,"Rs. 1,200","North Indian,Chinese",,Powai,"Utsav Cuisine
                                    ",4.1,"(1,021 Reviews)",https://www.zomato.com/mumbai/utsav-cuisine-powai
Dessert Parlor,Rs. 200,"Desserts,Beverages",,Kurla,"Royal Falooda
                                    ",4.1,(638 Reviews),https://www.zomato.com/mumbai/royal-falooda-kurla
